script,ablation_name,seed,return_code,finished_at,duration_seconds,top1_cost,top1_nfev,top1_status,p,N_freq_fit,N_residual_dim,model_eval,residual_calls,objective_calls,T_fit_total,T_global,T_local,de_popsize,de_maxiter,n_starts,top_k,SSE_raw,RMSE_raw,AIC_raw,BIC_raw,n,gp_re_peak1_hz,gp_re_peak2_hz,gp_re_peak3_hz,gp_im_peak1_hz,gp_im_peak2_hz,gp_im_peak3_hz,gp_phase_peak1_hz,gp_phase_peak2_hz,gp_phase_peak3_hz,param_Csf,param_Csf0,param_Csw,param_Lad,param_Llr,param_Lls,param_Lm,param_Rcore,param_Rrs,param_Rsf,param_Rsw,param_nLls
ablation_no_reim_scaling.py,No Re/Im separate scaling,5,0,2026-03-27T19:16:46,105.11,37674600.0,40,2,12,1590,3180,16917,16917,7440,18.765,1.431,17.201,10,60,120.0,10.0,52795300.0,128.85,30925.001,30997.776,3180,278000.0,38600.0,11900.0,34800.0,319000.0,17400.0,18300000.0,75800000.0,13000000.0,3.59754e-10,8.301e-11,6.32626e-10,1.27621e-07,0.0141992,0.0322553,0.0222067,5944.33,2800.0,27.4,14170.5,2.00561e-10
CurVer.py,,6,0,2026-03-27T19:18:06,80.125,1540.1,71,2,12,1590,3180,16448,16448,7440,17.928,1.379,16.418,10,60,120.0,10.0,54506700.0,130.922,31026.451,31099.226,3180,234000.0,38600.0,11900.0,196000.0,34800.0,308000.0,18300000.0,75800000.0,11700000.0,3.46142e-10,7.42218e-11,6.33914e-10,1.28215e-07,0.0138018,0.0328823,0.0206862,5263.17,2800.0,27.4,14312.5,1.42854e-09
ablation_de_only.py,DE only,6,0,2026-03-27T19:19:41,95.125,90715.1,15360,True,12,1590,3180,15361,15361,15360,5.924,5.8,0.0,20,160,,,1169230000.0,606.368,40775.615,40848.391,3180,36000.0,17400.0,24600.0,39900.0,421000.0,27300.0,10900000.0,7710000.0,17700000.0,8.06928e-10,1.81313e-09,5.23496e-10,1.66756e-07,0.0474233,0.012897,0.277397,19384.6,53.4645,109.643,373.728,1.63719e-10
ablation_ga_ls.py,GA + LS,6,0,2026-03-27T19:21:07,85.14,2084.75,69,2,12,1590,3180,8002,8002,7320,1.842,1.432,0.27,10,60,120.0,10.0,133512000.0,204.902,33875.3,33948.075,3180,38600.0,483000.0,683000.0,436000.0,36000.0,4830.0,18300000.0,75800000.0,13000000.0,3.53466e-10,4.62101e-09,7.12276e-10,1.27997e-07,0.0585761,0.0292214,0.0302762,3475.58,903.753,27.4,13435.2,4.60415e-10
ablation_ls_only.py,LS only,6,0,2026-03-27T19:22:27,80.172,2084.75,68,2,12,1590,3180,693,693,0,0.421,0.0,0.301,10,60,120.0,10.0,133512000.0,204.902,33875.312,33948.088,3180,38600.0,483000.0,683000.0,436000.0,36000.0,4830.0,18300000.0,75800000.0,13000000.0,3.53466e-10,7.37938e-09,7.12277e-10,1.26673e-07,0.058568,0.0292213,0.0302785,3475.56,903.436,27.4,13435.2,1.78034e-09
ablation_no_freq_weights.py,No frequency weights,6,0,2026-03-27T19:24:07,100.188,1025.65,41,2,12,1590,3180,15808,15808,7440,17.212,1.418,15.66,10,60,120.0,10.0,43410000.0,116.837,30302.577,30375.352,3180,259000.0,31300.0,20700.0,34800.0,23800.0,308000.0,18300000.0,75800000.0,11700000.0,3.48331e-10,7.4648e-11,6.4636e-10,1.25775e-07,0.017743,0.0324585,0.0209496,5109.49,2800.0,27.4,14138.7,1.66272e-09
ablation_no_reim_scaling.py,No Re/Im separate scaling,6,0,2026-03-27T19:25:42,95.156,37674600.0,30,2,12,1590,3180,15267,15267,7440,16.969,1.48,15.348,10,60,120.0,10.0,52796300.0,128.851,30925.062,30997.838,3180,278000.0,38600.0,11900.0,34800.0,319000.0,17400.0,18300000.0,75800000.0,13000000.0,3.59754e-10,7.40601e-11,6.32626e-10,1.27353e-07,0.014199,0.0322554,0.0222066,5944.38,2800.0,27.4,14170.5,4.69026e-10
CurVer.py,,7,0,2026-03-27T19:27:07,85.125,1540.1,52,2,12,1590,3180,17539,17539,7440,21.495,1.432,19.925,10,60,120.0,10.0,54504600.0,130.919,31026.326,31099.101,3180,234000.0,38600.0,11900.0,196000.0,34800.0,308000.0,18300000.0,75800000.0,11700000.0,3.46142e-10,6.60378e-09,6.33915e-10,1.28765e-07,0.0138023,0.0328823,0.0206864,5263.03,2800.0,27.4,14312.5,8.79426e-10
ablation_de_only.py,DE only,7,0,2026-03-27T19:28:07,60.109,81537.4,18240,True,12,1590,3180,18241,18241,18240,7.227,7.091,0.0,20,160,,,814321000.0,506.039,39625.266,39698.042,3180,37300.0,20000.0,11100.0,436000.0,22200.0,32500.0,50000000.0,17700000.0,10900000.0,4.94286e-10,4.78413e-10,3.12956e-10,6.27814e-08,0.0356554,0.0422219,0.148828,87.5216,6.50483,1043.21,19119.1,3.82925e-11
ablation_ga_ls.py,GA + LS,7,0,2026-03-27T19:29:32,85.141,2084.75,61,2,12,1590,3180,7922,7922,7320,1.66,1.297,0.251,10,60,120.0,10.0,133512000.0,204.902,33875.3,33948.076,3180,38600.0,483000.0,683000.0,436000.0,36000.0,4830.0,18300000.0,75800000.0,13000000.0,3.53467e-10,1.03022e-10,7.12277e-10,1.28416e-07,0.0585697,0.0292213,0.0302782,3475.6,903.506,27.4,13435.1,4.70588e-11
